date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:52:50	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260cb6384-4d7%22	https://demos.creative-tim.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/tables.html)
12:52:51	41970/41970	---M--	200	added ('OK')	image/png	etag:%226098fbcb-a3f2%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/logos/mastercard.png	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/logos/mastercard.png	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/billing.html)
12:52:52	239289/239289	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-3a6b9%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/curved-images/curved14.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/curved-images/curved14.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/billing.html)
12:52:53	46206/46206	---M--	200	added ('OK')	image/png	etag:%226098fbcb-b47e%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/logos/visa.png	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/logos/visa.png	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/billing.html)
12:52:55	20236/20236	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-4f0c%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/bruce-mars.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/bruce-mars.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
12:52:56	40050/40050	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-9c72%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/kal-visuals-square.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/kal-visuals-square.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
12:52:57	362523/362523	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-5881b%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/curved-images/curved0.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/curved-images/curved0.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
12:52:57	27522/27522	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-6b82%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/ivana-square.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/ivana-square.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
12:53:00	207059/207059	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-328d3%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/marie.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/marie.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
12:53:26	937206/937206	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-e4cf6%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/home-decor-1.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/home-decor-1.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
12:53:30	1159457/1159457	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-11b121%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/home-decor-3.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/home-decor-3.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
12:53:32	412607/412607	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-64bbf%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/curved-images/curved6.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/curved-images/curved6.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/sign-in.html)
12:53:36	1088035/1088035	---M--	200	added ('OK')	image/jpeg	etag:%226098fbcb-109a23%22	https://demos.creative-tim.com/soft-ui-dashboard/assets/img/home-decor-2.jpg	C:/Users/david/OneDrive/Desktop/cc1/demos.creative-tim.com/soft-ui-dashboard/assets/img/home-decor-2.jpg	(from https://demos.creative-tim.com/soft-ui-dashboard/pages/profile.html)
